Fecha,BrilloSolar,Precipitacion,temperaturaMedia,temperaturaMinima,temperaturaMaxima,AmplitudTermica
2006-01-29,,1,19.1,17,21.2,4.2
2006-01-30,,0.6,19.2,16,22.4,6.4
2006-01-31,,5,17.4,15.4,19.4,4
2006-02-01,,7.5,17.5,15,20,5
2006-02-02,,8,18.9,15.4,22.4,7
2006-02-03,,1,17,14,20,6
2006-02-04,,11,17.9,16.2,19.6,3.4
2006-02-05,,29,17.55,15.3,19.8,4.5
2006-02-06,,3.4,17.3,15,19.6,4.6
2006-02-07,,13,18.5,15.8,21.2,5.4
2006-02-08,,2.7,19.1,15.2,23,7.8
2006-02-09,,0,18.4,14.2,22.6,8.4
2006-02-10,,0,19.1,15.2,23,7.8
2006-02-11,,0,17.6,14,21.2,7.2
2006-02-12,,0,18.85,15.3,22.4,7.1
2006-02-13,,1,19.2,17,21.4,4.4
2006-02-14,,6.5,19.6,16,23.2,7.2
2006-02-15,,0,18.3,14.2,22.4,8.2
2006-02-16,,0,19,13.8,24.2,10.4
2006-02-17,,33,18.6,13,24.2,11.2
2006-02-18,,8.7,17.6,14,21.2,7.2
2006-02-19,,8,20.1,16,24.2,8.2
2006-02-20,,6,18.9,16.6,21.2,4.6
2006-02-21,,32.5,18.5,12.8,24.2,11.4
2006-02-22,,0,17.2,13.2,21.2,8
2006-02-23,,0,17.5,14.8,20.2,5.4
2006-02-24,,1.6,17,13.8,20.2,6.4
2006-02-25,,1,18.5,15.8,21.2,5.4
2006-02-26,,1,19.9,16.6,23.2,6.6
2006-02-27,,3,17.6,15.4,19.8,4.4
2006-02-28,,0,19.7,15.2,24.2,9
2006-03-01,,0,20.2,16.2,24.2,8
2006-03-02,,0,19.1,13.6,24.6,11
2006-03-03,,0,18.3,14,22.6,8.6
2006-03-04,,1,18.3,15.6,21,5.4
2006-03-05,,1.5,18.6,17,20.2,3.2
2006-03-06,,8.5,17.3,15,19.6,4.6
2006-03-07,,22.3,17.45,15.3,19.6,4.3
2006-03-08,,6,17.5,15,20,5
2006-03-09,,2.3,17.8,16,19.6,3.6
2006-03-10,,10,18.1,15,21.2,6.2
2006-03-11,,32,16.6,14.6,18.6,4
2006-03-12,,23,19.7,15,24.4,9.4
2006-03-13,,27,18.6,14.8,22.4,7.6
2006-03-14,,43.5,17.3,15.2,19.4,4.2
2006-03-15,,39.5,19,14.4,23.6,9.2
2006-03-16,,0,18.1,15.2,21,5.8
2006-03-17,,0,18.2,14,22.4,8.4
2006-03-18,,7,17.8,15.8,19.8,4
2006-03-19,,3,17.6,16,19.2,3.2
2006-03-20,,7.5,18.5,17.4,19.6,2.2
2006-03-21,,2.5,17.6,15,20.2,5.2
2006-03-22,,13,18.05,16.3,19.8,3.5
2006-03-23,,0,18.5,16,21,5
2006-03-24,,1,17.8,16.2,19.4,3.2
2006-03-25,,4,17.7,15.2,20.2,5
2006-03-26,,0,17.1,14.4,19.8,5.4
2006-03-27,,3,18.6,16.2,21,4.8
2006-03-28,,0,18.5,15.8,21.2,5.4
2006-03-29,,0,24.1,16.2,32,15.8
2006-03-30,,12,18.5,16,21,5
2006-03-31,,14,17.6,15,20.2,5.2
2006-04-01,,6.5,17.5,15.2,19.8,4.6
2006-04-02,,16,17.8,15.6,20,4.4
2006-04-03,,25,19.2,16,22.4,6.4
2006-04-04,,12.5,17.3,15,19.6,4.6
2006-04-05,,15.5,17.6,15,20.2,5.2
2006-04-06,,0.5,18.3,14.2,22.4,8.2
2006-04-07,,1,18.1,15.2,21,5.8
2006-04-08,,1,19.6,15,24.2,9.2
2006-04-09,,9,17.8,16,19.6,3.6
2006-04-10,,0,17.5,14.8,20.2,5.4
