,Fecha,humedad_relativa
2092,2010-08-02,68.0
2094,2010-08-03,89.66666666666667
2097,2010-08-04,71.66666666666667
2100,2010-08-05,60.666666666666664
2103,2010-08-06,65.0
2106,2010-08-07,80.33333333333333
2109,2010-08-08,83.33333333333333
2112,2010-08-09,53.666666666666664
2115,2010-08-10,61.0
2118,2010-08-11,65.0
2121,2010-08-12,78.33333333333333
2124,2010-08-13,77.66666666666667
2127,2010-08-14,70.66666666666667
2130,2010-08-15,62.333333333333336
2133,2010-08-16,62.0
2136,2010-08-17,70.0
2139,2010-08-18,75.33333333333333
2142,2010-08-19,84.33333333333333
2145,2010-08-20,65.66666666666667
2148,2010-08-21,62.0
2151,2010-08-22,61.666666666666664
2154,2010-08-23,74.66666666666667
2157,2010-08-24,74.66666666666667
2160,2010-08-25,91.0
2163,2010-08-26,82.0
2166,2010-08-27,82.66666666666667
2169,2010-08-28,76.33333333333333
2172,2010-08-29,81.0
2175,2010-08-30,74.0
2178,2010-08-31,87.33333333333333
2181,2010-09-01,91.0
2184,2010-09-02,83.66666666666667
2187,2010-09-03,81.66666666666667
2190,2010-09-04,87.66666666666667
2193,2010-09-05,79.66666666666667
2196,2010-09-06,86.0
2199,2010-09-07,85.66666666666667
2202,2010-09-08,78.33333333333333
2205,2010-09-09,71.66666666666667
2208,2010-09-10,68.66666666666667
2211,2010-09-11,67.5
2213,2010-09-12,71.66666666666667
2216,2010-09-13,72.66666666666667
2219,2010-09-14,79.33333333333333
2222,2010-09-15,80.0
2225,2010-09-16,77.0
2228,2010-09-17,75.0
2231,2010-09-18,63.666666666666664
2234,2010-09-19,77.0
2237,2010-09-20,91.0
2239,2010-09-21,82.33333333333333
2242,2010-09-22,86.0
2245,2010-09-23,85.33333333333333
2248,2010-09-24,84.66666666666667
2251,2010-09-25,83.66666666666667
2254,2010-09-26,79.66666666666667
2257,2010-09-27,93.0
2260,2010-09-28,76.66666666666667
2263,2010-09-29,76.0
2266,2010-09-30,78.66666666666667
2269,2010-10-01,67.0
2272,2010-10-02,75.0
2275,2010-10-03,76.66666666666667
2278,2010-10-04,83.66666666666667
2281,2010-10-05,78.0
2284,2010-10-06,78.33333333333333
2287,2010-10-07,76.33333333333333
2290,2010-10-08,76.33333333333333
2293,2010-10-09,64.0
2296,2010-10-10,54.666666666666664
2299,2010-10-11,54.333333333333336
2302,2010-10-12,56.666666666666664
2305,2010-10-13,62.0
2308,2010-10-14,77.33333333333333
2311,2010-10-15,79.66666666666667
